"time","format","n_studies","n_treatments"
"2025-09-25 14:42:27.317174","html",15,15
"2025-09-25 14:43:07.694152","html",15,15
"2025-09-25 15:05:54.014229","html",15,15
"2025-09-25 15:12:56.973913","html",15,14
"2025-09-25 15:18:18.18467","html",15,14
"2025-09-25 15:21:09.457827","html",15,15
"2025-09-25 15:23:07.353741","html",15,14
"2025-09-29 16:13:08.127134","word",15,15
"2025-09-29 16:13:52.825069","html",15,15
"2025-09-29 16:17:04.376311","html",15,14
"2025-10-16 20:46:51.209017","word",15,15
